,content,cleaning,normalize,removal,tokenizing,polarity_score,polarity
10,"Awal pake aplikasi ini sangat efisien dan baik tapi tidak berlaku seterus nya, krn skrg sudah tidak bisa dipakai untuk pemesanan tiket, keterangan nya tidak bisa pesan tiket lebih dt 15 pdhl sy cm pesen untuk 1 org saja itupun seminggu 1x - 2x, sudah coba tanya pegawai nya lgsg di stasiun tp jawaban nya diminta tggu beberapa hari dan penyebab dr aplikasi tsb eror dikarnakan sering dipakai, tetap sy coba ikuti tp sdh lewat 1 mggu lebih msh sama saja, jadi sy kasih bintang 1 dulu sementara.",awal pake aplikasi ini sangat efisien dan baik tapi tidak berlaku seterus nya krn skrg sudah tidak bisa dipakai untuk pemesanan tiket keterangan nya tidak bisa pesan tiket lebih dt pdhl sy cm pesen untuk org saja itupun seminggu x x sudah coba tanya pegawai nya lgsg di stasiun tp jawaban nya diminta tggu beberapa hari dan penyebab dr aplikasi tsb eror dikarnakan sering dipakai tetap sy coba ikuti tp sdh lewat mggu lebih msh sama saja jadi sy kasih bintang dulu sementara,awal pakai aplikasi ini sangat efisien dan baik tapi tidak laku terus nya karena sekarang sudah tidak bisa pakai untuk mesan tiket terang nya tidak bisa pesan tiket lebih dt padahal saya cm pesan untuk orang saja itu minggu tidak bisa tidak bisa sudah coba tanya pegawai nya langsung di stasiun tapi jawab nya minta tunggu beberapa hari dan sebab dari aplikasi tersebut eror dikarnakan sering pakai tetap saya coba ikut tapi sudah lewat mggu lebih masih sama saja jadi saya kasih bintang dulu sementara,pakai aplikasi efisien laku pakai mesan tiket terang pesan tiket pesan orang coba pegawai langsung stasiun tunggu aplikasi eror dikarnakan pakai coba mggu kasih bintang,"['pakai', 'aplikasi', 'efisien', 'laku', 'pakai', 'mesan', 'tiket', 'terang', 'pesan', 'tiket', 'pesan', 'orang', 'coba', 'pegawai', 'langsung', 'stasiun', 'tunggu', 'aplikasi', 'eror', 'dikarnakan', 'pakai', 'coba', 'mggu', 'kasih', 'bintang']",2,positive
11,"Mohon dicek apakah ada permasalahan pada aplikasinya. Saya sudah berulang kali login tapi tidak bisa masuk, tulisan notifikasinya invalid token. Sedangkan saat pemesanan tiket sudah memesan tiket, pembayaran berhasil namun QR Code boarding passnya tidak ada dan tidak ditemukan keterangan daftar penumpang.",mohon dicek apakah ada permasalahan pada aplikasinya saya sudah berulang kali login tapi tidak bisa masuk tulisan notifikasinya invalid token sedangkan saat pemesanan tiket sudah memesan tiket pembayaran berhasil namun qr code boarding passnya tidak ada dan tidak ditemukan keterangan daftar penumpang,mohon cek apakah ada masalah pada aplikasi saya sudah ulang kali login tapi tidak bisa masuk tulis notifikasi invalid token sedang saat mesan tiket sudah mes tiket bayar hasil namun qr code boarding passnya tidak ada dan tidak temu terang daftar tumpang,mohon cek aplikasi ulang login masuk tulis notifikasi invalid token mesan tiket mes tiket bayar hasil code boarding passnya temu terang daftar tumpang,"['mohon', 'cek', 'aplikasi', 'ulang', 'login', 'masuk', 'tulis', 'notifikasi', 'invalid', 'token', 'mesan', 'tiket', 'mes', 'tiket', 'bayar', 'hasil', 'code', 'boarding', 'passnya', 'temu', 'terang', 'daftar', 'tumpang']",-1,negative
12,"Beli tiket untuk orang tua, Ingin merubah jadwal tiket tertulis ""penjadwalan ulang tidak dapat dilakukan, karena data pemilik akun tidak berada dalam daftar penumpang. Mohon melakukan penjadwalan ulang di stasiun"" apa gunanya ada aplikasi, sudah daftar akun premium namun fasilitas sangat terbatas. Semoga segera diperbaiki pelayanan di aplikasi. Terima kasih.",beli tiket untuk orang tua ingin merubah jadwal tiket tertulis penjadwalan ulang tidak dapat dilakukan karena data pemilik akun tidak berada dalam daftar penumpang mohon melakukan penjadwalan ulang di stasiun apa gunanya ada aplikasi sudah daftar akun premium namun fasilitas sangat terbatas semoga segera diperbaiki pelayanan di aplikasi terima kasih,beli tiket untuk orang tua ingin rubah jadwal tiket tulis jadwal ulang tidak dapat laku karena data milik akun tidak ada dalam daftar tumpang mohon laku jadwal ulang di stasiun apa guna ada aplikasi sudah daftar akun premium namun fasilitas sangat batas moga segera baik layan di aplikasi terima kasih,beli tiket orang tua rubah jadwal tiket tulis jadwal ulang laku data milik akun daftar tumpang mohon laku jadwal ulang stasiun aplikasi daftar akun premium fasilitas batas moga layan aplikasi terima kasih,"['beli', 'tiket', 'orang', 'tua', 'rubah', 'jadwal', 'tiket', 'tulis', 'jadwal', 'ulang', 'laku', 'data', 'milik', 'akun', 'daftar', 'tumpang', 'mohon', 'laku', 'jadwal', 'ulang', 'stasiun', 'aplikasi', 'daftar', 'akun', 'premium', 'fasilitas', 'batas', 'moga', 'layan', 'aplikasi', 'terima', 'kasih']",1,positive
13,"Saat memesan tiket KA lokal lalu pembayaran gagal, maka tiket yang gagal tersebut akan masuk ke kolom bagian menunggu, dan hal tersebut tidak bisa dibatalkan sehingga harus menunggu dan lebih parahnya lagi biaya tetap terbayarkan dan tidak kembali, jadi saya harus membayar 2 kali lipat dari harga normal. Saya harap developer KAI Access segera memperbaiki hal ini, meskipun kerugian yang saya alami termasuk murah, akan tetapi jika terjadi berulang kali maka akan jadi besar juga. Saya sudah 2 kali",saat memesan tiket ka lokal lalu pembayaran gagal maka tiket yang gagal tersebut akan masuk ke kolom bagian menunggu dan hal tersebut tidak bisa dibatalkan sehingga harus menunggu dan lebih parahnya lagi biaya tetap terbayarkan dan tidak kembali jadi saya harus membayar kali lipat dari harga normal saya harap developer kai access segera memperbaiki hal ini meskipun kerugian yang saya alami termasuk murah akan tetapi jika terjadi berulang kali maka akan jadi besar juga saya sudah kali,saat mes tiket kakak lokal lalu bayar gagal maka tiket yang gagal sebut akan masuk ke kolom bagi tunggu dan hal sebut tidak bisa batal sehingga harus tunggu dan lebih parah lagi biaya tetap bayar dan tidak kembali jadi saya harus bayar kali lipat dari harga normal saya harap developer kai access segera baik hal ini meski rugi yang saya alami masuk murah akan tetapi jika jadi ulang kali maka akan jadi besar juga saya sudah kali,mes tiket kakak lokal bayar gagal tiket gagal masuk kolom tunggu hal batal tunggu parah biaya bayar bayar lipat harga normal harap developer kai access hal rugi alami masuk murah ulang besar,"['mes', 'tiket', 'kakak', 'lokal', 'bayar', 'gagal', 'tiket', 'gagal', 'masuk', 'kolom', 'tunggu', 'hal', 'batal', 'tunggu', 'parah', 'biaya', 'bayar', 'bayar', 'lipat', 'harga', 'normal', 'harap', 'developer', 'kai', 'access', 'hal', 'rugi', 'alami', 'masuk', 'murah', 'ulang', 'besar']",-2,negative
14,"Pengalaman buruk yang barusan saya Alami dengan perjalanan KAI selama ini entah yang salah Aplikasi ini atau siapa kami membeli tiket lewat KAI Access -6 hari sebelum berangkat awalnya normal saya pemesanan tiket, barcode tiket ada. Setelah hari H mau berangkat sudah sampai Stasiun saya cek di aplikasi ini KAI Access tiba2 tiket tidak bisa dibuka dan Ss tidak berlaku di stasiun tersebut... Saya benar benar kecewa sekali dengan pelayanan ini",pengalaman buruk yang barusan saya alami dengan perjalanan kai selama ini entah yang salah aplikasi ini atau siapa kami membeli tiket lewat kai access hari sebelum berangkat awalnya normal saya pemesanan tiket barcode tiket ada setelah hari h mau berangkat sudah sampai stasiun saya cek di aplikasi ini kai access tiba tiket tidak bisa dibuka dan ss tidak berlaku di stasiun tersebut saya benar benar kecewa sekali dengan pelayanan ini,alam buruk yang barusan saya alami dengan jalan kai lama ini entah yang salah aplikasi ini atau siapa kami beli tiket lewat kai access hari belum berangkat awal normal saya mesan tiket barcode tiket ada telah hari h mau berangkat sudah sampai stasiun saya cek di aplikasi ini kai access tiba tiket tidak bisa buka dan ss tidak laku di stasiun sebut saya benar benar kecewa sekali dengan layan ini,alam buruk barusan alami jalan kai salah aplikasi beli tiket kai access berangkat normal mesan tiket barcode tiket berangkat stasiun cek aplikasi kai access tiket buka laku stasiun kecewa layan,"['alam', 'buruk', 'barusan', 'alami', 'jalan', 'kai', 'salah', 'aplikasi', 'beli', 'tiket', 'kai', 'access', 'berangkat', 'normal', 'mesan', 'tiket', 'barcode', 'tiket', 'berangkat', 'stasiun', 'cek', 'aplikasi', 'kai', 'access', 'tiket', 'buka', 'laku', 'stasiun', 'kecewa', 'layan']",-1,negative
16,"Aplikasi bobrok, segera benahi aplikasi mu, no hp sya mati, tapi aplikasinya gak bisa buat pindah ke no HP baru, akhirnya gak bisa dapat kode verivikasi pemesanan tiket. KECEWA.",aplikasi bobrok segera benahi aplikasi mu no hp sya mati tapi aplikasinya gak bisa buat pindah ke no hp baru akhirnya gak bisa dapat kode verivikasi pemesanan tiket kecewa,aplikasi bobrok segera benah aplikasi mu nomor hp saya mati tapi aplikasi tidak bisa buat pindah ke nomor hp baru akhir tidak bisa dapat kode verivikasi mesan tiket kecewa,aplikasi bobrok benah aplikasi nomor mati aplikasi pindah nomor kode verivikasi mesan tiket kecewa,"['aplikasi', 'bobrok', 'benah', 'aplikasi', 'nomor', 'mati', 'aplikasi', 'pindah', 'nomor', 'kode', 'verivikasi', 'mesan', 'tiket', 'kecewa']",-2,negative
17,"akun nya sering banget keluar sendiri, gak jelas. bisa ngehambat dan bikin orang yg lagi buru buru beli tiket, masih mending kalau ketika itu masih inget password, lahh kalau lupa, bisa bikin telat penumpang",akun nya sering banget keluar sendiri gak jelas bisa ngehambat dan bikin orang yg lagi buru buru beli tiket masih mending kalau ketika itu masih inget password lahh kalau lupa bisa bikin telat penumpang,akun nya sering banget keluar sendiri tidak jelas bisa ngehambat dan bikin orang yang lagi buru buru beli tiket masih lebih baik kalau ketika itu masih inget password lahh kalau lupa bisa bikin terlambat tumpang,akun ngehambat bikin orang buru buru beli tiket inget password lahh lupa bikin terlambat tumpang,"['akun', 'ngehambat', 'bikin', 'orang', 'buru', 'buru', 'beli', 'tiket', 'inget', 'password', 'lahh', 'lupa', 'bikin', 'terlambat', 'tumpang']",-2,negative
20,"parah, udah beli tiket dan tercatat pembayaran lewat qris di mbca, tapi tiket yg dipesan tidak lekas muncul di aplikasi, sudah komplain dan tidak ada respon sama sekali.",parah udah beli tiket dan tercatat pembayaran lewat qris di mbca tapi tiket yg dipesan tidak lekas muncul di aplikasi sudah komplain dan tidak ada respon sama sekali,parah sudah beli tiket dan catat bayar lewat qris di mbca tapi tiket yang pes tidak lekas muncul di aplikasi sudah komplain dan tidak ada respon sama sekali,parah beli tiket catat bayar qris mbca tiket pes lekas muncul aplikasi komplain respon,"['parah', 'beli', 'tiket', 'catat', 'bayar', 'qris', 'mbca', 'tiket', 'pes', 'lekas', 'muncul', 'aplikasi', 'komplain', 'respon']",-2,negative
21,"Tolong dong apk nya dibenerin masa saya mau pesan tiket loading nya lama,klo langsung beli di stasiun takut nya kehabisan tiket jadi susah kan naik kereta. Tolong benerin secepatnya hari ini agar tidak ada eror",tolong dong apk nya dibenerin masa saya mau pesan tiket loading nya lama klo langsung beli di stasiun takut nya kehabisan tiket jadi susah kan naik kereta tolong benerin secepatnya hari ini agar tidak ada eror,tolong dong aplikasi nya dibenerin masa saya mau pesan tiket loading nya lama kalau langsung beli di stasiun takut nya habis tiket jadi susah kan naik kereta tolong benerin cepat hari ini agar tidak ada eror,tolong aplikasi dibenerin pesan tiket loading langsung beli stasiun takut habis tiket susah kereta tolong benerin cepat eror,"['tolong', 'aplikasi', 'dibenerin', 'pesan', 'tiket', 'loading', 'langsung', 'beli', 'stasiun', 'takut', 'habis', 'tiket', 'susah', 'kereta', 'tolong', 'benerin', 'cepat', 'eror']",-2,negative
23,Metode pembayaran cuman ada 2 yaitu qris sama ovo. Padahal dulu banyak metode pembayarannya. Seharusnya KAI menyediakan berbagai metode pembayaran agar memudahkan kami untuk membeli tiket lewat KAI.,metode pembayaran cuman ada yaitu qris sama ovo padahal dulu banyak metode pembayarannya seharusnya kai menyediakan berbagai metode pembayaran agar memudahkan kami untuk membeli tiket lewat kai,metode bayar Cuma ada yaitu qris sama ovo padahal dulu banyak metode bayar harus kai sedia bagai metode bayar agar mudah kami untuk beli tiket lewat kai,metode bayar qris ovo metode bayar kai sedia metode bayar mudah beli tiket kai,"['metode', 'bayar', 'qris', 'ovo', 'metode', 'bayar', 'kai', 'sedia', 'metode', 'bayar', 'mudah', 'beli', 'tiket', 'kai']",1,positive
25,"tolong dong ini aplikasi nya kenapa ya? saya sudah bayar lewat bca tetapi tiket masih saja status nya menunggu, padahal di bca saldo sudah terpotong. tolong di perbaiki lagiii, tiket saya jadi kebatal kan.",tolong dong ini aplikasi nya kenapa ya saya sudah bayar lewat bca tetapi tiket masih saja status nya menunggu padahal di bca saldo sudah terpotong tolong di perbaiki lagiii tiket saya jadi kebatal kan,tolong dong ini aplikasi nya kenapa iya saya sudah bayar lewat bca tetapi tiket masih saja status nya tunggu padahal di bca saldo sudah potong tolong di baik lagiii tiket saya jadi batal kan,tolong aplikasi bayar bca tiket status tunggu bca saldo potong tolong lagiii tiket batal,"['tolong', 'aplikasi', 'bayar', 'bca', 'tiket', 'status', 'tunggu', 'bca', 'saldo', 'potong', 'tolong', 'lagiii', 'tiket', 'batal']",-1,negative
26,"Beli tiket harus online tapi aplikasi nya sering gangguan dan lemot, pembayaran aja ga lengkap, mau top up kai pay gagal terus, qris sering error. Kacaauuu",beli tiket harus online tapi aplikasi nya sering gangguan dan lemot pembayaran aja ga lengkap mau top up kai pay gagal terus qris sering error kacaauuu,beli tiket harus online tapi aplikasi nya sering ganggu dan lambat bayar saja tidak lengkap mau top up kai pay gagal terus qris sering error kacaauuu,beli tiket online aplikasi ganggu lambat bayar lengkap top kai pay gagal qris error kacaauuu,"['beli', 'tiket', 'online', 'aplikasi', 'ganggu', 'lambat', 'bayar', 'lengkap', 'top', 'kai', 'pay', 'gagal', 'qris', 'error', 'kacaauuu']",-4,negative
